from_id	to_id	weight
1	1	11
1	11	2
1	425	2
1	1231	1
1	2841	1
1	3156	1
1	4008	1
1	4231	2
1	7666	1
1	11011	1
1	12129	1
1	12969	1
1	13834	1
1	14046	1
2	4891	1
2	13328	1
3	4692	1
3	6871	1
7	1116	1
11	1	5
11	11	2
11	66	1
11	132	1
22	4304	1
27	10095	1
32	13638	1
40	40	1
45	1345	1
45	2189	1
45	5034	3
45	6514	3
45	13737	1
49	343	1
49	800	1
49	1946	1
49	2841	1
49	2926	4
49	4262	2
49	5498	1
49	5690	1
49	6666	1
49	7952	2
49	8032	3
49	10194	1
51	2669	1
51	10350	1
51	10909	1
51	12189	1
51	13244	1
51	13377	1
51	13938	1
51	13994	1
66	66	2
66	934	2
66	1353	1
66	2189	1
66	2672	1
66	2763	1
66	3040	1
66	4231	1
66	10503	1
66	12597	1
75	75	2
75	360	1
75	1310	1
75	1916	1
75	8032	3
75	9928	1
75	13692	1
78	1	1
78	75	1
78	78	7
78	1050	3
78	1441	1
78	2051	1
78	2095	2
78	2841	1
78	2926	1
78	4037	1
78	6279	1
78	6986	3
78	8358	1
78	8680	1
78	10194	1
78	11142	1
78	11504	1
78	11576	1
78	12466	2
78	13541	2
78	14002	1
78	35833	2
83	1098	1
83	1310	1
83	2290	2
83	5094	2
83	10503	1
83	13441	1
92	290	1
98	12653	1
102	102	1
102	4910	1
109	4558	1
109	8103	1
121	121	5
121	290	1
121	370	2
121	431	1
121	451	2
121	934	1
121	943	1
121	1353	1
121	1916	1
121	2356	1
121	2625	1
121	2666	1
121	2841	2
121	2874	1
121	3901	1
121	4177	1
121	4614	1
121	5420	2
121	5734	1
121	6153	1
121	6495	1
121	7437	1
121	7894	1
121	9035	1
121	9305	1
121	9776	1
121	10365	1
121	10503	1
121	10898	1
121	10909	1
121	11501	1
121	12039	1
121	12484	1
121	12653	1
121	12712	1
121	12884	1
121	13132	1
121	13139	1
121	13316	1
121	13351	1
121	13396	3
121	13397	1
121	13403	1
121	13414	1
121	13488	1
121	13559	1
121	13583	1
121	13624	1
121	13661	1
121	13700	2
121	13782	1
121	13836	1
121	13886	1
121	13927	1
121	13983	1
121	14726	2
121	19475	1
136	13820	1
143	143	2
143	2083	2
143	4433	1
143	4923	1
143	12722	1
143	12922	1
143	13519	1
143	13809	1
175	175	1
238	238	4
238	6494	1
238	7193	1
238	9564	2
238	10858	1
238	12383	1
250	13960	1
259	2095	1
271	10701	1
284	284	1
284	2294	1
284	3046	1
284	8032	1
284	11504	1
290	75	1
290	121	2
290	290	9
290	297	1
290	343	3
290	344	1
290	750	2
290	1061	1
290	1106	1
290	1149	2
290	1384	1
290	1459	1
290	2095	1
290	2389	1
290	2672	1
290	2926	2
290	3040	1
290	3380	1
290	3609	1
290	3948	1
290	3996	1
290	4002	1
290	4183	3
290	4281	1
290	4304	1
290	4312	1
290	5309	2
290	5337	1
290	6137	1
290	6269	3
290	6856	1
290	6936	1
290	6950	1
290	7523	1
290	8358	1
290	8843	1
290	9072	1
290	9481	1
290	9833	1
290	10366	1
290	10930	1
290	11286	2
290	12039	1
290	12466	1
290	12712	2
290	12940	1
290	12976	1
290	13441	4
290	13700	2
290	13746	1
297	290	2
297	297	8
297	398	1
297	955	1
297	1384	1
297	1648	2
297	1898	1
297	1985	1
297	2363	1
297	3206	1
297	3709	3
297	4144	2
297	4183	2
297	4281	1
297	4558	1
297	5952	1
297	6666	1
297	7399	1
297	8860	1
297	8955	1
297	9035	1
297	10366	1
297	11850	1
297	12481	3
297	12517	3
297	13238	1
297	13473	1
297	13693	1
297	13814	2
297	13825	1
297	13834	2
297	13888	1
297	14726	1
300	11380	1
302	4433	1
303	303	2
303	1993	1
303	6936	1
303	11380	2
303	13959	1
317	1463	1
317	1465	1
317	2083	1
317	6429	1
317	6794	1
317	6976	1
317	9928	1
317	12517	2
317	13495	1
318	4304	1
321	290	1
321	321	2
321	4520	1
321	12166	1
343	2841	1
343	10909	2
344	290	1
344	344	1
344	2874	1
344	5587	1
344	7721	1
345	345	4
345	4053	1
345	13173	1
345	13390	1
345	13556	1
345	13700	1
345	13962	1
346	1095	1
346	1441	1
346	6753	1
346	9928	2
346	13132	1
348	65	1
348	290	1
348	2841	1
348	10095	1
351	3046	1
353	1114	2
353	1946	2
353	3578	1
353	4008	1
353	7144	1
353	13383	2
356	605	1
356	943	1
359	1450	1
360	360	4
360	2051	1
360	3901	4
360	4721	1
360	5010	1
360	8032	1
360	10205	1
360	10366	1
360	13848	1
370	1	1
370	290	1
370	370	6
370	438	1
370	2191	2
370	3992	1
370	4008	3
370	4054	2
370	4653	1
370	5259	1
370	5273	1
370	5756	1
370	10076	2
370	11919	1
370	12847	1
370	13700	1
370	13836	1
380	380	1
385	290	1
385	785	1
385	1019	1
385	4486	1
385	10898	1
386	3996	1
386	10076	2
391	66	1
391	605	1
391	934	1
391	1832	1
391	1985	1
391	5034	1
391	5690	1
391	6670	1
391	10466	1
391	12914	1
391	13466	1
391	13926	1
392	8955	1
392	13766	1
394	394	5
394	454	1
394	934	2
394	1648	2
394	1703	1
394	1867	1
394	1946	1
394	3811	1
394	4037	1
394	4054	1
394	4177	1
394	4231	1
394	4528	2
394	5034	1
394	5420	1
394	6269	1
394	6871	1
394	8278	1
394	9161	2
394	10930	1
394	11142	1
394	12310	2
394	12653	1
394	12722	1
394	13132	1
394	13238	1
394	13431	1
394	13640	1
394	13962	1
394	14013	1
394	26801	2
397	7	1
397	605	2
397	622	2
398	398	2
398	6043	1
401	778	1
402	1044	1
402	2082	1
402	2083	4
402	2554	1
404	290	1
404	5756	1
404	13601	1
405	2294	1
405	13383	1
406	121	1
406	406	6
406	2386	1
406	2926	1
406	3272	2
406	4807	1
406	6514	1
406	8375	1
406	10368	2
406	13718	1
408	1532	1
408	3609	1
412	5482	1
421	5744	1
425	1	2
425	78	1
425	425	1
425	1384	1
425	4231	1
425	4312	1
425	5094	1
425	7932	2
425	13964	1
426	1459	1
430	349	1
430	430	1
430	6094	1
430	8494	1
430	12653	2
430	13700	1
430	13958	1
431	121	1
431	431	3
431	2565	1
431	5619	1
431	5952	1
431	8103	1
431	10400	1
431	10909	1
434	3448	1
437	437	1
437	1409	1
437	4008	1
437	4177	4
437	4721	1
437	7721	1
437	13577	1
440	2384	1
440	10429	1
440	11978	2
450	1	1
450	303	1
450	450	6
450	2874	1
450	3709	1
450	3996	1
450	4891	1
450	5337	1
450	7150	1
450	7460	1
450	10076	1
450	12712	1
450	13218	1
450	13559	1
450	13700	2
450	14031	1
451	451	2
451	6121	1
454	102	1
454	454	4
454	955	1
454	1459	2
454	1946	1
454	2189	2
454	2833	1
454	4281	1
454	5072	1
454	10476	1
454	10629	1
454	11286	1
454	11765	2
454	11771	1
454	12301	1
454	12659	1
454	13714	1
454	13799	3
454	13809	3
454	13905	1
454	13916	1
454	13944	1
460	13583	3
477	477	2
477	13983	1
509	5094	1
509	13132	1
509	13441	1
582	582	3
582	1703	1
582	1851	1
582	2051	1
582	2384	1
582	3992	1
582	13473	1
605	356	1
605	430	1
605	605	4
605	622	1
605	3377	1
605	4008	1
605	4298	3
605	11661	1
605	13559	1
613	290	1
613	406	1
613	613	9
613	1149	1
613	1441	6
613	1573	2
613	2082	1
613	3324	1
613	3948	1
613	4304	1
613	5337	2
613	6094	2
613	6514	2
613	6658	1
613	7311	1
613	8032	1
613	9161	4
613	9871	1
613	11142	1
613	11394	1
613	11523	1
613	12145	1
613	12722	1
613	12993	1
613	13356	4
613	13385	3
613	13464	2
613	13700	1
613	13981	1
613	36108	1
622	622	2
622	10076	1
630	935	3
630	10898	1
630	10920	1
644	4367	1
703	703	1
703	1095	1
703	2530	1
703	4677	1
703	12653	1
728	4239	1
728	13838	1
732	437	1
733	290	1
733	343	1
733	344	1
733	733	3
733	4903	1
733	6307	1
745	745	1
745	1622	1
745	1898	2
750	750	6
750	2841	1
750	4231	1
750	10076	2
763	3	1
763	297	1
763	406	5
763	733	1
763	1119	2
763	1459	1
763	1688	2
763	2083	3
763	2189	1
763	2290	1
763	2386	2
763	2666	1
763	2672	1
763	2926	2
763	2989	1
763	3609	1
763	3684	1
763	3898	3
763	3948	4
763	4040	1
763	4177	2
763	4362	2
763	4692	3
763	4891	1
763	5043	1
763	5072	5
763	5337	1
763	5801	1
763	8250	1
763	8375	1
763	8699	2
763	9305	4
763	9317	2
763	9858	1
763	10365	1
763	10366	1
763	10368	1
763	10920	1
763	10930	1
763	10946	4
763	11016	1
763	11081	1
763	11142	1
763	11765	2
763	12712	2
763	12722	1
763	12976	1
763	12981	1
763	13244	2
763	13279	2
763	13391	1
763	13451	1
763	13466	2
763	13494	2
763	13541	2
